#hg17.kgXref.kgID	hg17.kgXref.geneSymbol	hg17.knownToLocusLink.value
BC015877	BC015877	28513
BC015880	BC015880	201595
BC015881	BC015881	64220
BC015886	BC015886	56963
BC015890	BC015890	65264
BC015899	BC015899	155066
BC015909	BC015909	51329
BC015914	BC015914	9064
BC015920	BC015920	2784
BC015930	BC015930	29761
BC015936	ASH2L	9070
BC015940	BC015940	4907
BC015944	BC015944	7072
BC015960	BC015960	1029
BC015975	BC015975	29964
BC015993	BC015993	338094
BC016034	BC016034	79651
BC016039	ZNF232	7775
BC016050	BC016050	80321
BC016054	BC016054	89797
BC016054	BC016054	89797
BC016057	USH1C	10083
BC016062	BC016062	79990
BC016067	BC016067	81796
BC016137	KIAA0020	9933
BC016138	CXorf17	54954
BC016140	MVK	4598
BC016158	BC016158	80174
BC016163	BC016163	23125
BC016163	BC016163	23125
BC016179	BC016179	3312
BC016314	BC016314	7518
BC016328	BC016328	64769
BC016330	BC016330	10635
BC016330	BC016330	10635
BC016333	BC016333	n/a
BC016340	BC016340	64168
BC016341	BC016341	3669
BC016344	ACPP	55
BC016348	BC016348	51234
BC016374	C1orf8	9528
BC016389	BC016389	54978
BC016396	BC016396	56257
BC016402	BC016402	127687
BC016440	BC016440	26502
BC016464	BC016464	80267
BC016470	EME1	146956
BC016477	BC016477	166793
BC016486	BC016486	3964
BC016582	BC016582	58155
BC016609	CMAS	55907
BC016614	BC016614	55795
BC016617	BC016617	65082
BC016623	BC016623	2118
BC016647	BC016647	26112
BC016647	BC016647	26112
BC016650	BC016650	81552
BC016653	GYPC	2995
BC016654	BC016654	5901
BC016668	BC016668	64121
BC016673	BC016673	n/a
BC016675	DBT	1629
BC016690	C21orf90	114043
BC016693	PHEMX	10077
BC016698	BC016698	51510
BC016703	BC016703	54988
BC016736	HNRPF	3185
BC016736	BC016736	3185
BC016743	BRF1	2972
BC016820	BC016820	n/a
BC016821	MBIP	51562
BC016825	BC016825	56907
BC016828	BC016828	427
BC016836	BC016836	58472
BC016841	RAB34	83871
BC016842	BC016842	26065
BC016843	BC016843	352909
BC016847	BC016847	1871
BC016850	C6orf79	63933
BC016851	CIDEC	63924
BC016852	BC016852	57326
BC016854	BC016854	28971
BC016879	BC016879	221302
BC016880	BC016880	200014
BC016904	ACD	65057
BC016905	BC016905	84142
BC016916	STK19	8859
BC016922	BC016922	7092
BC016928	BC016928	4942
BC016934	BC016934	6648
BC016937	BC016937	81573
BC016938	BC016938	56923
BC016940	BC016940	n/a
BC016964	BC016964	219928
BC016964	BC016964	219928
BC016965	BC016965	n/a
BC016967	BC016967	27079
BC016974	BC016974	148789
BC016979	BC016979	54550
BC016981	BC016981	2043
BC016985	BC016985	91526
BC016987	BC016987	n/a
BC016995	BC016995	2771
BC016996	DOCK2	1794
BC017012	BC017012	55677
BC017012	BC017012	55677
BC017016	BC017016	54923
BC017037	ICMT	23463
BC017053	BC017053	8310
BC017058	BC017058	131601
BC017059	BC017059	3428
BC017064	BC017064	79669
BC017066	BC017066	133619
BC017087	BC017087	94103
BC017096	BC017096	54784
BC017097	BC017097	57179
BC017098	PCBP4	57060
BC017106	BC017106	29960
BC017109	BC017109	n/a
BC017109	BC017109	n/a
BC017114	BC017114	64859
BC017115	BC017115	25885
BC017163	LUC7L2	51631
BC017167	BC017167	57122
BC017175	BC017175	56181
BC017178	BC017178	10273
BC017180	BC017180	27044
BC017193	BC017193	11313
BC017205	BC017205	5433
BC017206	BC017206	55663
BC017208	BC017208	57095
BC017212	BC017212	51131
BC017212	PHF11	51131
BC017213	BC017213	51765
BC017220	BC017220	55768
BC017222	BC017222	8878
BC017227	PDCL	5082
BC017232	BC017232	29894
BC017238	BC017238	55761
BC017244	BC017244	8881
BC017246	BC017246	29062
BC017247	FUBP1	8880
BC017248	POLR3H	171568
BC017254	BC017254	80851
BC017256	BC017256	284459
BC017261	BC017261	284403
BC017262	BC017262	10712
BC017269	BC017269	254427
BC017282	THRAP5	10025
BC017296	SESN3	143686
BC017297	BC017297	51571
BC017299	BC017299	91107
BC017303	BC017303	7429
BC017304	NR1I2	8856
BC017314	BC017314	2113
BC017316	BC017316	51434
BC017318	BC017318	116372
BC017328	BC017328	57085
BC017336	BC017336	123803
BC017342	BC017342	8558
BC017344	BC017344	79763
BC017348	ABCB9	23457
BC017351	MPI	4351
BC017357	BC017357	91661
BC017365	BC017365	11332
BC017378	BC017378	3074
BC017381	BC017381	29967
BC017382	BC017382	54532
BC017387	SPP1	6696
BC017393	BC017393	23063
BC017407	ZNF266	10781
BC017445	EPB49	2039
BC017497	BC017497	10385
BC017500	BC017500	79983
BC017503	CDR2	1039
BC017560	BC017560	124540
BC017572	BC017572	25945
BC017574	BC017574	55863
BC017591	BC017591	93550
BC017592	BC017592	148066
BC017655	BC017655	124583
BC017663	BC017663	64327
BC017663	BC017663	64327
BC017694	BC017694	n/a
BC017697	SLC26A6	65010
BC017700	BC017700	27033
BC017701	BC017701	51313
BC017708	BC017708	92912
BC017715	BC017715	6885
BC017724	BC017724	81608
BC017730	BC017730	27242
BC017732	BC017732	55342
BC017732	BC017732	55342
BC017732	BC017732	55342
BC017745	BC017745	26747
BC017754	BC017754	7020
BC017758	CYP4B1	1580
BC017769	BC017769	80059
BC017770	BC017770	9939
BC017780	BC017780	27128
BC017785	BC017785	26191
BC017799	BC017799	54830
BC017812	BC017812	29992
BC017824	LHFP	10186
BC017833	BC017833	5558
BC017859	TFF3	7033
BC017863	BC017863	5788
BC017869	FBXO36	130888
BC017871	RPP40	10799
BC017876	BC017876	85365
BC017880	BC017880	3658
BC017901	BC017901	5359
BC017905	BC017905	n/a
BC017927	BC017927	64167
BC017943	BC017943	n/a
BC017947	BC017947	148137
BC017952	BC017952	10786
BC017956	BC017956	8605
BC017967	BC017967	n/a
BC017969	RSAD2	91543
BC018007	BC018007	118924
BC018016	BC018016	93986
BC018026	BC018026	n/a
BC018028	BC018028	56986
BC018041	BC018041	51655
BC018059	BC018059	51362
BC018064	BC018064	n/a
BC018067	BC018067	9364
BC018068	C10orf49	221044
BC018069	BC018069	127700
BC018070	BC018070	151871
BC018072	BC018072	5998
BC018086	BC018086	91368
BC018103	BC018103	48
BC018109	BC018109	54955
BC018112	BC018112	10957
BC018116	BC018116	2869
BC018122	BC018122	7296
BC018123	CAPN5	726
BC018128	FGFR1	2260
BC018135	BC018135	79869
BC018140	BC018140	6227
BC018141	BC018141	590
BC018203	BC018203	130576
BC018205	BC018205	284004
BC018206	BC018206	n/a
BC018208	RHOF	54509
BC018299	BC018299	54749
BC018302	BC018302	55621
BC018311	BC018311	84901
BC018337	TRIM35	23087
BC018361	SEMA4F	10505
BC018366	BC018366	2794
BC018370	FLRT1	23769
BC018396	BC018396	9729
BC018426	BC018426	55665
BC018426	BC018426	55665
BC018426	BC018426	55665
BC018435	BC018435	55332
BC018441	C19orf25	148223
BC018466	EXOC7	23265
BC018503	BC018503	7043
BC018514	BC018514	10560
BC018537	BC018537	80255
BC018555	BC018555	113878
BC018610	BC018610	81887
BC018635	BC018635	51061
BC018650	EDG1	1901
BC018660	C10orf22	84890
BC018663	BC018663	79780
BC018677	BC018677	805
BC018687	BC018687	n/a
BC018687	BC018687	n/a
BC018688	BC018688	79627
BC018691	BC018691	80045
BC018701	BC018701	83858
BC018707	BC018707	84899
BC018710	BC018710	84668
BC018711	RNPC1	55544
BC018718	BAT8	10919
BC018728	EIF2B3	8891
BC018736	BC018736	26010
BC018738	FBXW2	26190
BC018752	NCR3	259197
BC018756	BC018756	26002
BC018756	BC018756	26002
BC018760	BC018760	116841
BC018762	BC018762	8723
BC018764	BC018764	56243
BC018766	BC018766	4524
BC018771	BC018771	81544
BC018771	BC018771	81544
BC018771	BC018771	81544
BC018771	BC018771	81544
BC018772	ZDHHC7	55625
BC018778	BC018778	10945
BC018782	BC018782	9235
BC018783	BC018783	147657
BC018783	BC018783	147657
BC018788	BC018788	22927
BC018803	TEAD2	8463
BC018823	SFRS5	6430
BC018903	BC018903	55010
BC018905	BC018905	26271
BC018918	BC018918	55020
BC018922	BC018922	10106
BC018923	BC018923	56897
BC018941	BC018941	80335
BC018950	BC018950	10131
BC018951	RBMS1	5937
BC018952	BC018952	51477
BC018970	BC018970	6135
BC018971	BC018971	7707
BC019015	BC019015	55588
BC019034	BC019034	127262
BC019039	BC019039	5998
BC019041	BC019041	81888
BC019043	BC019043	29988
BC019059	SP110	3431
BC019062	PSMD12	5718
BC019064	BC019064	57464
BC019075	BC019075	55789
BC019082	BC019082	2885
BC019082	BC019082	2885
BC019105	BC019105	79654
BC019108	BC019108	51341
BC019221	BC019221	159090
BC019221	BC019221	159090
BC019225	SLC23A1	9963
BC019228	BC019228	169841
BC019236	BC019236	3105
BC019246	BC019246	92745
BC019266	BC019266	1762
BC019278	M6PRBP1	10226
BC019297	BC019297	25844
BC019329	BC019329	9649
BC019330	BC019330	50512
BC019338	ZGPAT	84619
BC019341	BC019341	n/a
BC019342	BC019342	90139
BC019343	TINF2	26277
BC019348	BC019348	284942
BC019351	BC019351	79625
BC019352	BC019352	162979
BC019352	BC019352	162979
BC019358	BC019358	57348
BC019580	HNRPM	4670
BC019580	BC019580	4670
BC019585	BC019585	84939
BC019598	BC019598	79698
BC019602	BC019602	10730
BC019621	BC019621	112858
BC019643	BC019643	84271
BC019655	SNX22	79856
BC019669	BC019669	1915
BC019703	BC019703	n/a
BC019704	BC019704	123355
BC019830	BC019830	n/a
BC019874	BC019874	2820
BC019883	BC019883	29121
BC019890	BC019890	9019
BC019906	EIF2S3	1968
BC019909	BC019909	29028
BC019910	BC019910	92181
BC019917	BC019917	9444
BC019917	BC019917	9444
BC019928	BC019928	22859
BC020062	BC020062	50628
BC020198	BC020198	84466
BC020201	DDX59	83479
BC020214	BTN3A2	11118
BC020218	ACADVL	37
BC020226	BC020226	3112
BC020236	IGLC1	n/a
BC020238	SRP68	6730
BC020242	BC020242	n/a
BC020242	BC020242	n/a
BC020256	BC020256	57214
BC020264	BC020264	64224
BC020490	BC020490	57045
BC020492	BC020492	79709
BC020494	BC020494	282991
BC020495	BC020495	11158
BC020502	BC020502	151011
BC020506	BC020506	84561
BC020507	NPEPL1	79716
BC020516	BC020516	359948
BC020521	C14orf31	122786
BC020523	BC020523	25896
BC020536	BC020536	80011
BC020543	BC020543	23729
BC020550	CHURC1	91612
BC020551	C1QTNF6	114904
BC020553	BC020553	29920
BC020555	BC020555	26135
BC020559	SNX12	29934
BC020567	BC020567	9181
BC020567	ARHGEF2	9181
BC020586	SFRS14	10147
BC020590	BC020590	51107
BC020600	BC020600	79689
BC020602	BC020602	63899
BC020604	BC020604	81550
BC020605	BC020605	80013
BC020615	BC020615	81889
BC020616	BC020616	57404
BC020618	BC020618	5244
BC020619	BC020619	2940
BC020626	BC020626	11179
BC020629	SIRPB2	55423
BC020630	BC020630	55450
BC020631	BC020631	50807
BC020646	BC020646	9936
BC020652	PSG10	5675
BC020658	BC020658	55287
BC020660	BC020660	54558
BC020662	CXorf48	54967
BC020665	BC020665	23743
BC020670	BC020670	n/a
BC020672	BC020672	4820
BC020683	BC020683	55937
BC020686	BC020686	4739
BC020687	BC020687	10878
BC020688	BC020688	9958
BC020692	DLEU1	10301
BC020698	CCL20	6364
BC020707	BC020707	6898
BC020713	BC020713	5268
BC020718	BC020718	3426
BC020719	BC020719	3048
BC020722	AUH	549
BC020726	BC020726	8796
BC020728	BC020728	27235
BC020729	CCNE2	9134
BC020731	BC020731	8547
BC020746	PNPLA4	8228
BC020749	BC020749	10225
BC020750	BC020750	10993
BC020754	BC020754	1559
BC020756	CSH1	1443
BC020757	MT1G	4495
BC020758	BC020758	6402
BC020764	BC020764	2243
BC020766	CRP	1401
BC020769	GNPDA1	10007
BC020786	PLRG1	5356
BC020792	BC020792	3081
BC020806	BC020806	23190
BC020807	PSMB1	5689
BC020814	BC020814	n/a
BC020817	ANKRD2	26287
BC020822	BC020822	149628
BC020840	BC020840	n/a
BC020841	BC020841	90527
BC020843	BC020843	84868
BC020855	BC020855	160518
BC020863	BC020863	51179
BC020867	BC020867	6540
BC020868	BC020868	6777
BC020869	BC020869	n/a
BC020879	BC020879	n/a
BC020881	BC020881	7094
BC020885	BC020885	91574
BC020886	BC020886	n/a
BC020891	BC020891	n/a
BC020893	BC020893	158399
BC020894	BC020894	n/a
BC020898	BC020898	130827
BC020923	BC020923	n/a
BC020950	BC020950	51271
BC020953	BC020953	55291
BC020953	BC020953	55291
BC020955	BC020955	55773
BC020955	BC020955	55773
BC020956	BC020956	n/a
BC020956	BC020956	n/a
BC020957	BC020957	55181
BC020959	BC020959	56889
BC020962	BC020962	55959
BC020973	BC020973	5887
BC020974	BC020974	64218
BC020974	BC020974	64218
BC020974	BC020974	64218
BC020986	BC020986	85313
BC020986	BC020986	85313
BC020987	BC020987	22937
BC020988	BC020988	64782
BC020988	BC020988	64782
BC021021	BC021021	84650
BC021090	BC021090	85477
BC021090	SCIN	85477
BC021092	BC021092	84936
BC021095	BC021095	55684
BC021102	BC021102	55854
BC021102	BC021102	55854
BC021104	BC021104	8862
BC021107	BC021107	9777
BC021113	BC021113	7029
BC021118	BC021118	25953
BC021120	BC021120	5936
BC021121	BC021121	65125
BC021127	BC021127	n/a
BC021134	BC021134	116840
BC021134	BC021134	116840
BC021140	BC021140	118611
BC021161	BC021161	51808
BC021163	BC021163	25792
BC021174	SERF1A	8293
BC021178	BC021178	n/a
BC021187	BC021187	n/a
BC021192	BC021192	10801
BC021192	BC021192	10801
BC021204	BC021204	4035
BC021210	BC021210	126147
BC021211	BC021211	85021
BC021217	BC021217	4731
BC021228	BC021228	55731
BC021229	BC021229	85465
BC021238	BC021238	162394
BC021241	BC021241	3887
BC021245	AFG3L1	172
BC021248	BC021248	114880
BC021253	BC021253	83543
BC021256	BC021256	246330
BC021259	BC021259	201292
BC021263	RAB24	53917
BC021267	BC021267	57565
BC021275	BC021275	51237
BC021278	BC021278	80201
BC021282	BC021282	55311
BC021290	BC021290	10644
BC021294	CHERP	10523
BC021301	BC021301	9855
BC021559	BC021559	5426
BC021560	BC021560	1620
BC021562	BC021562	10818
BC021564	BC021564	10376
BC021569	BC021569	8794
BC021578	CLCN2	1181
BC021580	BC021580	203245
BC021664	BC021664	9122
BC021680	BC021680	389336
BC021685	BC021685	9413
BC021704	BC021704	79906
BC021706	BC021706	51402
BC021709	SGCE	8910
BC021712	ZNF451	26036
BC021714	BC021714	8495
BC021720	BC021720	55466
BC021720	BC021720	55466
BC021720	BC021720	55466
BC021726	BC021726	23034
BC021730	BC021730	84569
BC021741	BC021741	n/a
BC021742	BC021742	84417
BC021803	BC021803	n/a
BC021822	C19orf9	n/a
BC021857	BC021857	n/a
BC021861	BC021861	n/a
BC021896	BC021896	132158
BC021906	FMNL1	752
BC021923	BC021923	83882
BC021927	BC021927	n/a
BC021930	BC021930	57654
BC021961	BC021961	64324
BC021962	BC021962	23338
BC021962	BC021962	23338
BC021967	BC021967	3419
BC021968	BC021968	80233
BC021995	SRP9	6726
BC021997	BC021997	79759
BC022004	BC022004	29119
BC022014	PARK2	5071
BC022022	BC022022	148254
BC022039	BC022039	374955
BC022042	BC022042	56890
BC022054	BC022054	118812
BC022067	EXOSC1	51013
BC022074	BC022074	221458
BC022079	BC022079	150159
BC022082	BC022082	n/a
BC022087	BC022087	949
BC022189	BC022189	n/a
BC022199	BC022199	25941
BC022205	BC022205	n/a
BC022217	BC022217	63027
BC022219	TMEM24	9854
BC022219	BC022219	9854
BC022228	BC022228	27248
BC022230	BC022230	9600
BC022239	BC022239	5866
BC022243	BC022243	n/a
BC022248	BC022248	79982
BC022248	BC022248	79982
BC022254	BC022254	64421
BC022256	BC022256	3929
BC022258	BC022258	7450
BC022259	PCYOX1	51449
BC022289	BC022289	844
BC022297	BC022297	8526
BC022300	BC022300	23545
BC022302	BC022302	n/a
BC022309	BC022309	462
BC022319	BC022319	127
BC022325	BC022325	80012
BC022328	SFRS7	6432
BC022341	BC022341	57038
BC022344	PTK9	5756
BC022362	IGKC	n/a
BC022363	BC022363	137492
BC022368	BC022368	4719
BC022375	BC022375	51150
BC022379	BC022379	114571
BC022401	BC022401	143503
BC022403	BC022403	57534
BC022405	BC022405	84548
BC022419	BC022419	57157
BC022429	BC022429	n/a
BC022434	BC022434	84186
BC022434	BC022434	84186
BC022436	BC022436	7178
BC022443	ZCCHC10	54819
BC022444	BC022444	6128
BC022450	BC022450	10715
BC022451	BC022451	79918
BC022452	BC022452	9912
BC022462	BC022462	55808
BC022467	BC022467	11022
BC022483	BC022483	9411
BC022488	BC022488	2555
BC022507	B3GALT2	8707
BC022519	BC022519	57213
BC022531	OLFM3	118427
BC022539	BC022539	10858
BC022540	DNCI1	1780
BC022554	BC022554	8682
BC022556	BC022556	80177
BC022557	BC022557	80723
BC022561	BC022561	163486
BC022566	BC022566	84945
BC022571	BC022571	23273
BC022792	BC022792	9730
BC022812	BC022812	10630
BC022823	BC022823	n/a
BC022832	BC022832	n/a
BC022847	BC022847	56940
BC022848	BC022848	79140
BC022851	BC022851	1579
BC022856	BC022856	56912
BC022867	BC022867	79848
BC022878	BC022878	63926
BC022878	BC022878	63926
BC022888	BC022888	129446
BC022957	BC022957	56959
BC022958	BC022958	158427
BC022967	BC022967	8816
BC022968	BC022968	57709
BC022983	LNX	84708
BC022988	BC022988	221336
BC023152	GYG2	8908
BC023247	BC023247	26092
BC023260	BC023260	113452
BC023288	BC023288	84068
BC023519	BC023519	55616
BC023521	BC023521	54974
BC023525	BC023525	222658
BC023546	BC023546	22998
BC023549	FBF1	n/a
BC023556	VRK3	51231
BC023560	BC023560	257019
BC023567	BC023567	51379
BC023569	UPF3A	65110
BC023570	BC023570	n/a
BC023597	BC023597	11322
BC023603	BC023603	89927
BC023611	BC023611	79180
BC023630	TREX1	11277
BC023646	BC023646	201305
BC023973	IGLV6-57	n/a
BC023974	BC023974	79671
BC023985	BC023985	27153
BC023985	BC023985	27153
BC023988	BC023988	26099
BC023991	BC023991	23625
BC023997	EVL	51466
BC023998	MTSS1	9788
BC024000	BC024000	27332
BC024004	RAPGEF4	11069
BC024007	BC024007	1486
BC024009	BC024009	123872
BC024011	BC024011	84224
BC024021	BC024021	64174
BC024036	C20orf27	54976
BC024161	BC024161	80208
BC024176	BC024176	55900
BC024179	BC024179	57144
BC024181	ESR2	2100
BC024187	BC024187	79665
BC024187	BC024187	79665
BC024188	BC024188	285237
BC024194	BC024194	54511
BC024197	BC024197	7769
BC024209	BC024209	55835
BC024217	BC024217	23304
BC024223	BC024223	10190
BC024231	BC024231	n/a
BC024243	BC024243	151393
BC024244	BC024244	90864
BC024269	BC024269	n/a
BC024270	BC024270	64061
BC024272	BC024272	972
BC024289	IGHG1	n/a
BC024295	BC024295	148398
BC024315	BC024315	26148
BC024318	BC024318	255967
BC024324	TNRC6A	27327
BC024648	PHPT1	29085
BC024651	BC024651	n/a
BC024725	BC024725	57182
BC024746	BC024746	64798
BC024764	BC024764	n/a
BC024772	BC024772	51203
BC024890	TERF2	7014
BC024905	BC024905	7174
BC024914	GAGE5	n/a
BC025179	BC025179	n/a
BC025234	BC025234	50861
BC025236	BC025236	444
BC025239	BC025239	84918
BC025244	BC025244	81858
BC025256	BC025256	64220
BC025258	BC025258	6926
BC025262	BC025262	55827
BC025267	BC025267	55756
BC025269	BC025269	55217
BC025272	YY1AP1	55249
BC025276	BC025276	51096
BC025278	AIG1	51390
BC025281	RBM9	23543
BC025282	BC025282	10298
BC025290	BC025290	8681
BC025304	BC025304	58497
BC025304	BC025304	58497
BC025305	BC025305	81037
BC025306	PPHLN1	51535
BC025312	BC025312	63910
BC025325	BC025325	222962
BC025334	BC025334	159013
BC025340	BC025340	n/a
BC025345	BC025345	n/a
BC025367	BC025367	79866
BC025369	BC025369	51377
BC025382	TKTL1	8277
BC025383	BC025383	54937
BC025384	BC025384	9653
BC025389	PSMA8	143471
BC025392	BC025392	146845
BC025396	BC025396	132671
BC025420	BC025420	65981
BC025658	BC025658	79927
BC025680	RUSC1	23623
BC025682	GSDML	55876
BC025689	BC025689	80125
BC025700	BC025700	27125
BC025707	KCNMB1	3779
BC025708	BC025708	55784
BC025714	BC025714	5530
BC025721	BC025721	n/a
BC025721	ELTD1	n/a
BC025723	BC025723	246330
BC025729	BC025729	83692
BC025732	BC025732	257106
BC025737	PKLR	5313
BC025742	ITM2C	81618
BC025744	LRRC25	126364
BC025754	BC025754	79843
BC025755	BC025755	79969
BC025761	CYP2W1	54905
BC025764	BC025764	83539
BC025765	BC025765	219790
BC025766	BC025766	10288
BC025767	BC025767	114822
BC025773	BC025773	63892
BC025773	BC025773	63892
BC025776	BC025776	10911
BC025786	IFIT5	24138
BC025787	ALKBH	8846
BC025926	BC025926	56926
BC025926	BC025926	56926
BC025927	GGT1	2678
BC025930	BC025930	55666
BC025952	BC025952	64419
BC025952	BC025952	64419
BC025968	BC025968	79365
BC025980	ENTPD6	955
BC025994	BC025994	9498
BC025995	BC025995	55124
BC025995	BC025995	55124
BC025997	BC025997	130951
BC026009	GPR125	166647
BC026012	BC026012	221468
BC026017	BC026017	64149
BC026019	VASP	7408
BC026023	BC026023	79850
BC026032	BC026032	5639
BC026035	BC026035	8602
BC026046	UHMK1	127933
BC026057	BC026057	80169
BC026058	BC026058	n/a
BC026072	USP12	219333
BC026076	NT5C1B	93034
BC026077	RBMY2FP	159163
BC026080	BC026080	282809
BC026081	BC026081	199704
BC026092	ZNF165	7718
BC026100	TTTY8	n/a
BC026102	BC026102	8863
BC026119	CNTN4	152330
BC026126	BC026126	54602
BC026154	BC026154	64768
BC026154	BC026154	64768
BC026155	RSBN1	54665
BC026159	BC026159	6322
BC026172	BC026172	26098
BC026174	BC026174	60412
BC026175	BC026175	1386
BC026177	BC026177	n/a
BC026179	SEC61A2	55176
BC026183	CXorf2	n/a
BC026187	BC026187	124817
BC026189	SUNC1	256979
BC026192	BC026192	51333
BC026210	BC026210	147923
BC026234	BC026234	79768
BC026236	BC026236	54680
BC026238	ORM1	5004
BC026241	BC026241	9690
BC026250	FAP	2191
BC026257	APOF	319
BC026272	BC026272	892
BC026303	BC026303	9689
BC026306	POLM	27434
BC026313	BC026313	56899
BC026322	BC026322	55108
BC026327	EPHA4	2043
BC026344	BC026344	55652
BC026344	BC026344	55652
BC026350	BC026350	51714
BC026351	TTC8	123016
BC026353	BC026353	57599
BC026358	SLC22A15	55356
BC026362	BC026362	124602
BC026692	PTPNS1	140885
BC026692	PTPNS1	140885
BC026694	BC026694	202915
BC026909	BC026909	127703
BC026914	BC026914	7216
BC026955	BC026955	56965
BC026955	BC026955	56965
BC026959	BC026959	7003
BC026965	BC026965	n/a
BC026967	BC026967	25921
BC026967	ZDHHC5	25921
BC027182	BC027182	22889
BC027207	BC027207	22937
BC027237	BC027237	93594
BC027241	ALDH1L1	10840
BC027454	BC027454	84296
BC027465	BC027465	n/a
BC027471	BC027471	n/a
BC027473	BC027473	79934
BC027476	CNOT6	57472
BC027478	BC027478	54507
BC027478	BC027478	54507
BC027486	BC027486	n/a
BC027588	BC027588	56261
BC027590	BC027590	55107
BC027592	TJP2	9414
BC027596	PPP2R1B	5519
BC027602	BC027602	79838
BC027602	BC027602	79838
BC027603	BC027603	221955
BC027606	BC027606	124044
BC027609	BC027609	220082
BC027716	BC027716	80020
BC027724	BC027724	23080
BC027731	BC027731	9617
BC027732	BC027732	29899
BC027854	BC027854	7444
BC027854	BC027854	7444
BC027856	BC027856	63979
BC027856	BC027856	63979
BC027858	BC027858	10462
BC027860	BC027860	11259
BC027865	C11orf16	56673
BC027867	BC027867	57823
BC027868	BC027868	149428
BC027869	BC027869	84167
BC027870	BC027870	27295
BC027874	BC027874	25790
BC027875	BC027875	n/a
BC027876	ADD2	119
BC027878	BC027878	127795
BC027884	SLC39A5	283375
BC027885	KLRB1	3820
BC027900	BC027900	84236
BC027901	CD5	921
BC027903	LRRC17	10234
BC027907	BC027907	64881
BC027909	BC027909	n/a
BC027910	BC027910	83878
BC027920	BC027920	4063
BC027922	BC027922	54807
BC027923	BC027923	124935
BC027923	BC027923	124935
BC027935	BC027935	126526
BC027938	BC027938	340419
BC027940	BC027940	2045
BC027947	BC027947	64342
BC027949	P2RX1	5023
BC027951	C20orf32	57091
BC027954	BC027954	n/a
BC027975	RAMP2	10266
BC027976	BC027976	6227
BC027977	APOC3	n/a
BC027978	BC027978	n/a
BC027993	BC027993	10753
BC027994	BC027994	8945
BC028006	ICOS	29851
BC028010	BC028010	114881
BC028012	BC028012	84106
BC028019	BC028019	138241
BC028026	BC028026	10336
BC028026	PCGF3	10336
BC028040	CNP	1267
BC028049	BC028049	5532
BC028050	BC028050	23373
BC028058	BC028058	84002
BC028061	BC028061	57706
BC028068	BC028068	3718
BC028076	BC028076	147138
BC028083	BC028083	n/a
BC028084	P2RX5	5026
BC028087	VMD2L3	144453
BC028088	BC028088	55671
BC028090	IGLC1	n/a
BC028091	BC028091	124599
BC028102	BC028102	260293
BC028105	BC028105	6585
BC028112	NARG1L	79612
BC028113	BC028113	51022
BC028138	BC028138	53347
BC028141	BC028141	197259
BC028149	CLK1	1195
BC028151	BC028151	8227
BC028163	BC028163	23432
BC028164	TNK2	10188
BC028165	BC028165	27253
BC028168	ICMT	23463
BC028173	BC028173	54991
BC028178	BC028178	1281
BC028194	BC028194	79805
BC028195	BC028195	n/a
BC028198	BC028198	151651
BC028199	BC028199	146722
BC028200	BC028200	79841
BC028206	BC028206	3811
BC028207	BC028207	5187
BC028212	BC028212	23533
BC028218	ZBP1	81030
BC028219	BC028219	10618
BC028220	BC028220	51548
BC028222	LGALS12	85329
BC028222	LGALS12	85329
BC028225	BC028225	55593
BC028227	BC028227	57573
BC028228	BC028228	147699
BC028237	BC028237	2662
BC028244	BC028244	79733
BC028304	BC028304	23174
BC028309	BC028309	22877
BC028350	BC028350	79739
BC028351	BC028351	54768
BC028353	BC028353	55764
BC028354	BC028354	57088
BC028361	BC028361	3631
BC028369	BC028369	56929
BC028370	BC028370	79411
BC028371	PSMA8	143471
BC028374	BC028374	n/a
BC028374	BC028374	n/a
BC028381	BC028381	55108
BC028384	GUCY1A3	2982
BC028387	BC028387	91833
BC028390	BC028390	259232
BC028392	BC028392	257044
BC028395	SEC15L1	54536
BC028416	BC028416	140612
BC028423	PMFBP1	83449
BC028424	BC028424	117584
BC028425	BC028425	23209
BC028426	TJP2	9414
BC028572	BC028572	84256
BC028575	BC028575	55654
BC028580	BC028580	n/a
BC028582	BC028582	5992
BC028583	SENP6	26054
BC028586	C13orf7	79596
BC028586	BC028586	79596
BC028587	BC028587	79858
BC028589	C10orf22	84890
BC028596	BC028596	79837
BC028609	BC028609	54520
BC028614	BC028614	54922
BC028620	BC028620	374977
BC028626	TNRC6B	n/a
BC028628	BC028628	80227
BC028629	GABRA3	2556
BC028631	BC028631	92283
BC028679	BC028679	22920
BC028682	BC028682	55297
BC028688	BC028688	3358
BC028707	BC028707	84076
BC028708	BC028708	26074
BC028715	BC028715	26098
BC028715	BC028715	26098
BC028715	BC028715	26098
BC028716	BC028716	83857
BC028716	BC028716	83857
BC028717	BC028717	9265
BC028721	BC028721	6511
BC028724	BC028724	150290
BC028725	ELMOD1	55531
BC028730	BC028730	151556
BC028731	BC028731	257101
BC028733	BC028733	5747
BC028740	STAM2	10254
BC028743	BC028743	204962
BC028840	BC028840	81573
BC028912	BC028912	4189
BC028918	BC028918	55357
BC028933	BC028933	115352
BC028936	ZNFN1A2	22807
BC028973	BC028973	8195
BC029035	BC029035	23122
BC029036	RPL14	9045
BC029054	BC029054	79955
BC029055	PGA3	n/a
BC029071	BC029071	221416
BC029104	CPT1C	126129
BC029137	BC029137	n/a
BC029138	BC029138	5214
BC029141	NPHS2	7827
